Date : 2024-06-20 15:20:21
Directory : e:\MyProjects\IMeetE\UIPrototype\codes
Total : 118 files,  6414 codes, 1034 comments, 918 blanks, all 8366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\mbti-post\mbti-post.wxml           | WXML       |         17 |          3 |          1 |         21 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\mbti-post\mbti-post.wxss           | CSS        |         69 |        162 |         15 |        246 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\result\result.js                   | JavaScript |         36 |         28 |         19 |         83 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\result\result.json                 | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\result\result.wxml                 | WXML       |          4 |          1 |          7 |         12 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\result\result.wxss                 | CSS        |        152 |         12 |          7 |        171 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\test\test.js                       | JavaScript |        101 |         72 |         32 |        205 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\test\test.json                     | JSON       |          5 |          0 |          0 |          5 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\test\test.wxml                     | WXML       |         25 |          3 |          8 |         36 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mbti\test\test.wxss                     | CSS        |        101 |          1 |         15 |        117 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\chat.js                         | JavaScript |        327 |         37 |         22 |        386 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\chat.json                       | JSON       |          3 |          0 |          0 |          3 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\chat.wxml                       | WXML       |         55 |          7 |          8 |         70 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\chat.wxss                       | CSS        |        273 |         12 |         45 |        330 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\message.js                      | JavaScript |         77 |         28 |         19 |        124 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\message.json                    | JSON       |          3 |          0 |          0 |          3 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\message.wxml                    | WXML       |         16 |          1 |          1 |         18 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\message\message.wxss                    | CSS        |         57 |          1 |         11 |         69 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mine\mine.js                            | JavaScript |         86 |         28 |         19 |        133 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mine\mine.json                          | JSON       |          6 |          0 |          0 |          6 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mine\mine.wxml                          | WXML       |         41 |          4 |          1 |         46 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\mine\mine.wxss                          | CSS        |        117 |          1 |         22 |        140 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-comment\add-comment.js         | JavaScript |         72 |          4 |          7 |         83 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-comment\add-comment.json       | JSON       |          1 |          0 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-comment\add-comment.wxml       | WXML       |         11 |          2 |          0 |         13 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-comment\add-comment.wxss       | CSS        |         48 |          0 |          6 |         54 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-post\add-post.js               | JavaScript |        107 |          2 |          9 |        118 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-post\add-post.json             | JSON       |          1 |          0 |          0 |          1 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-post\add-post.wxml             | WXML       |         23 |          2 |          1 |         26 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\add-post\add-post.wxss             | CSS        |         91 |          0 |         12 |        103 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\post-detail\post-detail.js         | JavaScript |        220 |         39 |         30 |        289 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\post-detail\post-detail.json       | JSON       |          3 |          0 |          0 |          3 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\post-detail\post-detail.wxml       | WXML       |         78 |          7 |         31 |        116 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\post\post-detail\post-detail.wxss       | CSS        |        299 |         27 |         59 |        385 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\register\register.js                    | JavaScript |         78 |          1 |          8 |         87 |
| e:\MyProjects\IMeetE\UIPrototype\codes\pages\register\register.json                  | JSON       |          3 |          0 |          1 |          4 |
